Date/Time,Time,CPU Usage,Temperature
2017-05-02,15:20:05,3.2,66.1
2017-05-02,15:20:28,3.3,65.5
2017-05-02,15:20:49,3.5,66.6
2017-05-02,15:21:11,3,65.5
2017-05-02,15:21:33,3.1,65.5
2017-05-02,15:21:54,3.2,65
2017-05-02,15:22:16,4.2,65
2017-05-02,15:22:38,3.4,65.5
2017-05-02,15:22:59,3.6,65.5
2017-05-02,15:23:21,2.7,64.5
2017-05-02,15:23:43,2.9,64.5
2017-05-02,15:24:05,3.4,64.5
2017-05-02,15:24:27,3.4,64.5
2017-05-02,15:24:48,3.5,64.5
2017-05-02,15:25:11,3.1,65
2017-05-02,15:25:32,2.6,64.5
2017-05-02,15:25:54,3,63.9
2017-05-02,15:26:16,3.7,63.4
2017-05-02,15:26:38,3.4,64.5
2017-05-02,15:26:59,3.4,63.4
2017-05-02,15:27:21,3.8,63.9
2017-05-02,15:27:43,3.1,63.4
2017-05-02,15:28:05,3.3,63.4
2017-05-02,15:28:27,4,63.4
2017-05-02,15:28:49,3.9,63.9
2017-05-02,15:29:11,27.4,71.4
2017-05-02,15:29:32,47.4,74.1
2017-05-02,15:29:54,49.1,75.2
2017-05-02,15:30:16,10.9,67.7
2017-05-02,15:30:37,7.8,68.2
2017-05-02,15:30:59,4.7,66.6
2017-05-02,15:31:20,5.9,66.6
2017-05-02,15:31:42,4.7,65.5
2017-05-02,15:32:04,6.9,66.6
2017-05-02,15:32:26,4.9,65
2017-05-02,15:32:47,5.1,65
2017-05-02,15:33:09,7.5,66.6
2017-05-02,15:33:32,3.9,65.5
2017-05-02,15:33:53,4,64.5
2017-05-02,15:34:14,4.7,63.4
2017-05-02,15:34:36,4.9,63.4
2017-05-02,15:34:57,6,64.5
2017-05-02,15:35:20,6.9,65
2017-05-02,15:35:41,4.7,64.5
2017-05-02,15:36:03,4.3,63.4
2017-05-02,15:36:24,4.8,63.9
2017-05-02,15:36:46,4.6,63.4
2017-05-02,15:37:07,4.7,64.5
2017-05-02,15:37:29,4.1,63.9
2017-05-02,15:37:50,3.9,63.4
2017-05-02,15:38:12,4.5,63.4
2017-05-02,15:38:33,4.3,64.5
2017-05-02,15:38:54,4.8,63.9
2017-05-02,15:39:16,3.9,63.4
2017-05-02,15:39:38,3.4,62.8
2017-05-02,15:40:00,4,62.8
2017-05-02,15:40:22,4,63.4
2017-05-02,15:40:43,4.1,63.4
2017-05-02,15:41:06,4.7,63.4
2017-05-02,15:41:28,4.6,64.5
2017-05-02,15:41:49,3,62.3
2017-05-02,15:42:11,3.9,62.8
2017-05-02,15:42:33,4.1,62.8
2017-05-02,15:42:55,23.9,70.4
2017-05-02,15:43:17,10,66.1
2017-05-02,15:43:38,5.1,64.5
2017-05-02,15:44:00,4.3,63.4
2017-05-02,15:44:21,4.6,63.4
2017-05-02,15:44:43,4.5,64.5
2017-05-02,15:45:05,3.8,63.9
2017-05-02,15:45:27,3.8,64.5
2017-05-02,15:45:49,7.1,63.9
2017-05-02,15:46:11,4.2,63.4
2017-05-02,15:46:33,26.4,68.8
2017-05-02,15:46:54,28.8,69.8
2017-05-02,15:47:15,24.1,70.4
2017-05-02,15:47:37,26,70.9
2017-05-02,15:47:58,26,70.9
2017-05-02,15:48:19,25.3,71.4
2017-05-02,15:48:41,25.8,72
2017-05-02,15:49:03,23.5,73.1
2017-05-02,15:49:25,24.8,72.5
2017-05-02,15:49:46,26.1,72
2017-05-02,15:50:08,25.1,72
2017-05-02,15:50:29,24.9,73.1
2017-05-02,15:50:51,25.9,73.1
2017-05-02,15:51:13,24.5,73.1
2017-05-02,15:51:35,22.9,73.1
2017-05-02,15:51:56,24.4,73.1
2017-05-02,15:52:19,26.6,73.1
2017-05-02,15:52:41,8,68.8
2017-05-02,15:53:02,3.7,67.7
2017-05-02,15:53:24,4.9,67.7
2017-05-02,15:53:45,9.7,66.1
2017-05-02,15:54:08,7.7,66.1
2017-05-02,15:54:29,7.3,66.1
2017-05-02,15:54:51,8.8,66.6
2017-05-02,15:55:13,9.8,66.1
2017-05-02,15:55:35,8.6,66.6
2017-05-02,15:55:56,6.8,64.5
2017-05-02,15:56:19,8.7,65.5
2017-05-02,15:56:41,6.8,64.5
2017-05-02,15:57:02,3.5,64.5
2017-05-02,15:57:24,3.3,65
2017-05-02,15:57:46,3.5,65
2017-05-02,15:58:08,3,64.5
2017-05-02,15:58:31,2.9,63.4
2017-05-02,15:58:53,3.4,62.8
2017-05-02,15:59:15,3.2,63.4
2017-05-02,15:59:41,2.8,63.4
2017-05-01,16:00:31,18.2,63.4
2017-05-01,16:00:52,51.2,72.5
2017-05-01,16:01:14,39,73.1
2017-05-01,16:01:36,36.7,72
2017-05-01,16:01:57,33.2,72.5
2017-05-01,16:02:19,34.5,72
2017-05-01,16:02:41,21.1,70.9
2017-05-01,16:03:02,20.3,70.9
2017-05-01,16:03:26,19.6,70.9
2017-05-01,16:03:48,20.6,70.4
2017-05-01,16:04:10,19.7,70.9
2017-05-01,16:04:31,21.3,71.4
2017-05-01,16:04:53,25.2,71.4
2017-05-01,16:05:15,20.1,70.9
2017-05-01,16:05:37,31.3,75.2
2017-05-01,16:05:58,51.5,77.9
2017-05-01,16:06:20,42.8,77.4
2017-05-01,16:06:41,38,78.4
2017-05-01,16:07:04,40.5,74.7
2017-05-01,16:07:25,10.3,71.4
2017-05-01,16:07:47,10.2,71.4
2017-05-01,16:08:08,25,76.3
2017-05-01,16:08:30,15.5,70.9
2017-05-01,16:08:52,15.6,72.5
2017-05-01,16:09:14,25.1,71.4
2017-05-01,16:09:39,19.7,70.9
2017-05-01,16:10:00,9.1,70.4
2017-05-01,16:10:22,8.1,69.8
2017-05-01,16:10:43,33.2,75.2
2017-05-01,16:11:04,30.4,74.1
2017-05-01,16:11:26,8.5,71.4
2017-05-01,16:11:48,9.9,70.9
2017-05-01,16:12:09,9.2,69.3
2017-05-01,16:12:31,8.5,69.8
2017-05-01,16:12:52,26.3,75.2
2017-05-01,16:13:14,39.8,74.7
2017-05-01,16:13:35,31.7,74.1
2017-05-01,16:13:57,21.5,72
2017-05-01,16:14:18,9.5,70.9
2017-05-01,16:14:40,16.4,72.5
2017-05-01,16:15:02,10.5,69.8
2017-05-01,16:15:24,11.4,70.9
2017-05-01,16:15:46,8.6,69.8
2017-05-01,16:16:07,8.7,69.3
2017-05-01,16:16:29,18.1,73.1
2017-05-01,16:16:51,29.9,76.3
2017-05-01,16:17:13,11.7,70.9
2017-05-01,16:17:35,10.6,69.8
2017-05-01,16:17:58,21.5,73.6
2017-05-01,16:18:20,13.6,70.9
2017-05-01,16:18:43,15.3,70.9
2017-05-01,16:19:05,16.1,73.1
2017-05-01,16:19:27,23.7,74.7
2017-05-01,16:19:49,30.1,75.8
2017-05-01,16:20:11,32.8,77.4
2017-05-01,16:20:34,21.5,73.1
2017-05-01,16:20:55,11.7,72.5
2017-05-01,16:21:18,29.4,76.3
2017-05-01,16:21:40,26.2,76.3
2017-05-01,16:22:02,31.1,78.4
2017-05-01,16:22:25,32.1,78.4
2017-05-01,16:22:47,32.7,78.4
2017-05-01,16:23:08,31.9,77.4
2017-05-01,16:23:30,26.1,78.4
2017-05-01,16:23:52,38.6,80.6
